NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
HP_TRANSIENT_GLOBAL_AMNESIA	20	17		
HP_SLEEP_APNEA	91	87		
HP_CENTRAL_SLEEP_APNEA	22	22		
HP_WIDE_CRANIAL_SUTURES	24	24		
HP_OPSOCLONUS	5		Rejected!	
HP_VERTICAL_NYSTAGMUS	8		Rejected!	
HP_MUSCLE_FIBRILLATION	31	29		
HP_MUSCLE_FLACCIDITY	14		Rejected!	
HP_PERCUSSION_MYOTONIA	7		Rejected!	
HP_WEAKNESS_DUE_TO_UPPER_MOTOR_NEURON_DYSFUNCTION	424	383		
HP_PARAPLEGIA	152	146		
HP_PARAPLEGIA_PARAPARESIS	206	197		
HP_OCULOGYRIC_CRISIS	8		Rejected!	
HP_CUTANEOUS_FINGER_SYNDACTYLY	24	22		
HP_OVERLAPPING_FINGERS	27	27		
HP_BIFID_EPIGLOTTIS	7		Rejected!	
HP_APLASIA_HYPOPLASIA_OF_THE_EPIGLOTTIS	7		Rejected!	
HP_HAMARTOMA	72	71		
HP_HAMARTOMA_OF_THE_EYE	27	27		
HP_INTRACRANIAL_CYSTIC_LESION	154	147		
HP_ABSENT_EPIPHYSES	14		Rejected!	
HP_CONE_SHAPED_EPIPHYSIS	67	65		
HP_ENLARGED_EPIPHYSES	13		Rejected!	
HP_IRREGULAR_EPIPHYSES	21	20		
HP_IVORY_EPIPHYSES	6		Rejected!	
HP_PSEUDOEPIPHYSES	16		Rejected!	
HP_SMALL_EPIPHYSES	17	16		
HP_SKIN_TAGS	68	66		
HP_PALMAR_PITS	5		Rejected!	
HP_ANGIOFIBROMAS	25	25		
HP_FIBROADENOMA_OF_THE_BREAST	11		Rejected!	
HP_MALAR_PROMINENCE	10		Rejected!	
HP_CUTANEOUS_SYNDACTYLY_OF_TOES	10		Rejected!	
HP_NEOPLASM_OF_THE_SKELETAL_SYSTEM	69	68		
HP_APLASTIC_HYPOPLASTIC_TOENAIL	88	86		
HP_ANTERIOR_PITUITARY_DYSGENESIS	21	21		
HP_ANTERIOR_PITUITARY_AGENESIS	9		Rejected!	
HP_SCHIZENCEPHALY	8		Rejected!	
HP_ELEVATED_ALKALINE_PHOSPHATASE_OF_BONE_ORIGIN	7		Rejected!	
HP_ABNORMALITY_OF_THE_NASAL_CAVITY	17	17		
HP_ABNORMAL_ELASTICITY_OF_SKIN	173	173		
HP_DERMAL_TRANSLUCENCY	11		Rejected!	
HP_FLAT_NASAL_ALAE	8		Rejected!	
HP_ABNORMAL_MENINGEAL_MORPHOLOGY	99	92		
HP_ABNORMAL_DURA_MATER_MORPHOLOGY	7		Rejected!	
HP_EPIPHYSEAL_STIPPLING	32	31		
HP_ABNORMAL_EPIPHYSEAL_OSSIFICATION	52	50		
HP_PATCHY_CHANGES_OF_BONE_MINERAL_DENSITY	5		Rejected!	
HP_ABNORMAL_HAND_BONE_OSSIFICATION	33	32		
HP_ABNORMALITY_OF_THE_DIENCEPHALON	83	80		
HP_ABNORMALITY_OF_THALAMUS_MORPHOLOGY	35	33		
HP_BILATERAL_COXA_VALGA	9		Rejected!	
HP_ABNORMALITY_OF_THE_ZYGOMATIC_BONE	221	216		
HP_HYPOPLASIA_OF_THE_ZYGOMATIC_BONE	29	28		
HP_ABNORMALITY_OF_THE_CURVATURE_OF_THE_VERTEBRAL_COLUMN	981		Rejected!	
HP_ABNORMAL_FOOT_BONE_OSSIFICATION	12		Rejected!	
HP_ENURESIS_NOCTURNA	6		Rejected!	
HP_ELEVATED_TISSUE_NON_SPECIFIC_ALKALINE_PHOSPHATASE	11		Rejected!	
HP_PULVERULENT_CATARACT	9		Rejected!	
HP_POLAR_CATARACT	11		Rejected!	
HP_INCREASED_CIRCULATING_ANTIBODY_LEVEL	80	78		
HP_ABNORMALITY_OF_HAIR_TEXTURE	160	155		
HP_ABNORMAL_HAIR_PATTERN	216	208		
HP_ABNORMAL_HAIR_WHORL	24	20		
HP_CHERRY_RED_SPOT_OF_THE_MACULA	11		Rejected!	
HP_NAEVUS_FLAMMEUS_OF_THE_EYELID	6		Rejected!	
HP_PEDAL_EDEMA	17	17		
HP_APLASIA_OF_THE_PHALANGES_OF_THE_TOES	5		Rejected!	
HP_HYPOPLASIA_OF_THE_PHALANGES_OF_THE_TOES	6		Rejected!	
HP_MEDIAL_FLARING_OF_THE_EYEBROW	26	26		
HP_DIMPLE_CHIN	15	15		
HP_ABNORMALITY_OF_THE_TEMPOROMANDIBULAR_JOINT	6		Rejected!	
HP_ABNORMALITY_OF_THE_PREMAXILLA	8		Rejected!	
HP_PROMINENCE_OF_THE_PREMAXILLA	5		Rejected!	
HP_ABSENT_TOE	68	67		
HP_BROAD_COLUMELLA	12		Rejected!	
HP_PALMAR_HYPERKERATOSIS	36	34		
HP_ECTOPIC_CALCIFICATION	197	177		
HP_ANOMALOUS_PULMONARY_VENOUS_RETURN	19	18		
HP_HYPERACUSIS	14		Rejected!	
HP_SKIN_DIMPLE	75	72		
HP_ERYTHEMA	120	102		
HP_GONADAL_NEOPLASM	97	94		
HP_URINARY_TRACT_NEOPLASM	131	129		
HP_GENITAL_NEOPLASM	144	141		
HP_ABNORMALITY_OF_THE_LEYDIG_CELLS	9		Rejected!	
HP_IMPAIRED_VISUOSPATIAL_CONSTRUCTIVE_COGNITION	29	16		
HP_HEMANGIOBLASTOMA	18	18		
HP_EVERTED_UPPER_LIP_VERMILION	14		Rejected!	
HP_TENTED_UPPER_LIP_VERMILION	79	76		
HP_U_SHAPED_UPPER_LIP_VERMILION	5		Rejected!	
HP_OPEN_BITE	43	43		
HP_PROTRUDING_TONGUE	25	24		
HP_EPIDERMAL_NEVUS	6		Rejected!	
HP_ATONIC_SEIZURE	43	42		
HP_HEMIFACIAL_SPASM	12		Rejected!	
HP_IMPAIRED_TEMPERATURE_SENSATION	9		Rejected!	
HP_IMPAIRED_TACTILE_SENSATION	12		Rejected!	
HP_IMPAIRED_PROPRIOCEPTION	35	34		
HP_ABNORMALITY_OF_PAIN_SENSATION	55	46		
HP_ABNORMAL_CIRCULATING_COPPER_CONCENTRATION	8		Rejected!	
HP_DECREASED_SERUM_CERULOPLASMIN	7		Rejected!	
HP_MULTIFOCAL_EPILEPTIFORM_DISCHARGES	71	68		
HP_EEG_WITH_MULTIFOCAL_SLOW_ACTIVITY	41	40		
HP_EEG_WITH_GENERALIZED_SLOW_ACTIVITY	12		Rejected!	
HP_EEG_WITH_SPIKE_WAVE_COMPLEXES_3_5_HZ_	6		Rejected!	
HP_EEG_WITH_SPIKE_WAVE_COMPLEXES	66	64		
HP_EEG_WITH_BURST_SUPPRESSION	21	20		
HP_DELAYED_FINE_MOTOR_DEVELOPMENT	9		Rejected!	
HP_RECEPTIVE_LANGUAGE_DELAY	7		Rejected!	
HP_INTELLECTUAL_DISABILITY_SEVERE	332	323		
HP_SENSORY_ATAXIA	11		Rejected!	
HP_TENDON_XANTHOMATOSIS	9		Rejected!	
HP_ABNORMAL_CIRCULATING_PROTEIN_LEVEL	443	419		
HP_INCREASED_NUCHAL_TRANSLUCENCY	28	28		
HP_ABNORMALITY_OF_THE_UMBILICAL_CORD	31	30		
HP_AVASCULAR_NECROSIS	68	63		
HP_ABNORMAL_CIRCULATING_BRANCHED_CHAIN_AMINO_ACID_CONCENTRATION	7		Rejected!	
HP_ABNORMAL_CIRCULATING_PHENYLALANINE_CONCENTRATION	7		Rejected!	
HP_ABNORMAL_CIRCULATING_SERINE_FAMILY_AMINO_ACID_CONCENTRATION	19	18		
HP_ABNORMAL_CIRCULATING_GLYCINE_CONCENTRATION	16	15		
HP_ABNORMAL_CIRCULATING_ASPARTATE_FAMILY_AMINO_ACID_CONCENTRATION	18	18		
HP_ABNORMAL_CIRCULATING_METHIONINE_CONCENTRATION	13		Rejected!	
HP_ABNORMAL_CIRCULATING_GLUTAMINE_FAMILY_AMINO_ACID_CONCENTRATION	18	18		
HP_ABNORMAL_CIRCULATING_GLUTAMINE_CONCENTRATION	7		Rejected!	
HP_ABNORMAL_CIRCULATING_PROLINE_CONCENTRATION	10		Rejected!	
HP_ABNORMAL_CIRCULATING_ARGININE_CONCENTRATION	5		Rejected!	
HP_ABNORMAL_CIRCULATING_PYRUVATE_FAMILY_AMINO_ACID_CONCENTRATION	35	22		
HP_ABNORMAL_CIRCULATING_TYROSINE_CONCENTRATION	5		Rejected!	
HP_ZONULAR_CATARACT	31	30		
HP_ABNORMAL_BLOOD_INORGANIC_CATION_CONCENTRATION	128	122		
HP_ABNORMAL_BLOOD_MONOVALENT_INORGANIC_CATION_CONCENTRATION	102	101		
HP_ABNORMAL_BLOOD_SODIUM_CONCENTRATION	44	43		
HP_ABNORMALITY_OF_THE_UPPER_URINARY_TRACT	1161		Rejected!	
HP_ABNORMALITY_OF_THE_LOWER_URINARY_TRACT	637		Rejected!	
HP_ABNORMALITY_OF_THE_NASAL_SKELETON	9		Rejected!	
HP_ABNORMALITY_OF_THE_EXTERNAL_NOSE	794		Rejected!	
HP_ABNORMALITY_OF_THE_NASAL_BONE	6		Rejected!	
HP_ABNORMAL_RENAL_PELVIS_MORPHOLOGY	181	173		
HP_ABNORMALITY_OF_THE_FETAL_CARDIOVASCULAR_SYSTEM	23	22		
HP_DILATATION_OF_THE_BLADDER	9		Rejected!	
HP_ABNORMAL_CIRCULATING_LONG_CHAIN_FATTY_ACID_CONCENTRATION	17	17		
HP_ABNORMAL_CIRCULATING_FATTY_ACID_ANION_CONCENTRATION	17	16		
HP_ANEMIA_OF_INADEQUATE_PRODUCTION	146	138		
HP_ABNORMAL_MYELOID_LEUKOCYTE_MORPHOLOGY	293	278		
HP_B_LYMPHOCYTOPENIA	16	15		
HP_ABNORMALITY_OF_IMMUNE_SYSTEM_PHYSIOLOGY	1275		Rejected!	
HP_ABNORMALITY_OF_LIPOPROTEIN_CHOLESTEROL_CONCENTRATION	41	41		
HP_HYPERLIPOPROTEINEMIA	30	30		
HP_HYPOLIPOPROTEINEMIA	21	21		
HP_POLYGENIC_INHERITANCE	31	31		
HP_DIGENIC_INHERITANCE	8		Rejected!	
HP_GONOSOMAL_INHERITANCE	253	244		
HP_ABNORMALITY_OF_THE_EXTRINSIC_PATHWAY	14		Rejected!	
HP_ABNORMALITY_OF_THE_INTRINSIC_PATHWAY	27	27		
HP_ABNORMALITY_OF_THE_COMMON_COAGULATION_PATHWAY	48	47		
HP_ABNORMAL_MORPHOLOGY_OF_THE_ABDOMINAL_MUSCULATURE	56	54		
HP_ABNORMALITY_OF_THE_CEREBRAL_SUBCORTEX	879		Rejected!	
HP_ABNORMAL_CORPUS_STRIATUM_MORPHOLOGY	32	29		
HP_ABNORMAL_CIRCULATING_MONOCARBOXYLIC_ACID_COCENTRATION	6		Rejected!	
HP_CHROMOSOMAL_BREAKAGE_INDUCED_BY_IONIZING_RADIATION	13		Rejected!	
HP_INCREASED_BONE_MINERAL_DENSITY	89	87		
HP_OSTEOPETROSIS	17	17		
HP_HIGH_MYOPIA	54	53		
HP_ABNORMAL_SYSTEMIC_ARTERIAL_MORPHOLOGY	394	367		
HP_ABNORMAL_MORPHOLOGY_OF_THE_MUSCULATURE_OF_THE_NECK	48	48		
HP_TEMPORAL_PATTERN	22	20		
HP_ABNORMAL_CIRCULATING_CARBOHYDRATE_CONCENTRATION	58	48		
HP_ABNORMAL_GLUCOSE_HOMEOSTASIS	566		Rejected!	
HP_ABNORMAL_BLOOD_GLUCOSE_CONCENTRATION	227	217		
HP_ABNORMALITY_OF_CIRCULATING_ENZYME_LEVEL	264	247		
HP_ABNORMAL_CARDIOVASCULAR_SYSTEM_PHYSIOLOGY	1112		Rejected!	
HP_APLASIA_HYPOPLASIA_OF_THE_VAGINA	22	22		
HP_ABNORMAL_FALLOPIAN_TUBE_MORPHOLOGY	27	26		
HP_ABNORMALITY_OF_BLOOD_CIRCULATION	282	268		
HP_ABNORMAL_BLOOD_TRANSITION_ELEMENT_CATION_CONCENTRATION	29	27		
HP_ABNORMALITY_OF_IRON_HOMEOSTASIS	18	17		
HP_ABNORMALITY_OF_FLUID_REGULATION	472	452		
HP_AMYLOIDOSIS	24	24		
HP_ABNORMAL_RENAL_CORTEX_MORPHOLOGY	191	161		
HP_ABNORMALITY_OF_RENAL_EXCRETION	53	51		
HP_DECREASED_URINE_OUTPUT	19	17		
HP_ABNORMALITY_OF_RENAL_RESORPTION	22	20		
HP_ABNORMALITY_OF_THE_HELIX	117	114		
HP_ABNORMALITY_OF_THE_INTRAHEPATIC_BILE_DUCT	17	17		
HP_ABNORMAL_BLOOD_POTASSIUM_CONCENTRATION	81	81		
HP_ABNORMALITY_OF_CIRCULATING_ADRENOCORTICOTROPIN_LEVEL	40	40		
HP_ABNORMAL_NUMBER_OF_PERMANENT_TEETH	23	22		
HP_ABNORMALITY_OF_DENTAL_STRUCTURE	277	261		
HP_ABNORMALITY_OF_INCISOR_MORPHOLOGY	34	33		
HP_ABNORMAL_NUMBER_OF_INCISORS	38	37		
HP_CONICAL_INCISOR	20	19		
HP_INCREASED_NUMBER_OF_TEETH	39	38		
HP_ABNORMALITY_OF_DENTAL_COLOR	22	21		
HP_ABNORMALITY_OF_MOLAR	37	36		
HP_ABNORMALITY_OF_CANINE	5		Rejected!	
HP_INCISOR_MACRODONTIA	10		Rejected!	
HP_OVERBITE	7		Rejected!	
HP_PERIPHERAL_DEMYELINATION	48	37		
HP_EPILEPTIC_SPASM	108	92		
HP_SPEECH_APRAXIA	18	17		
HP_INTESTINAL_ATRESIA	45	45		
HP_ABNORMAL_LEFT_VENTRICULAR_OUTFLOW_TRACT_MORPHOLOGY	18	17		
HP_ABNORMALITY_OF_BLOOD_VOLUME_HOMEOSTASIS	35	34		
HP_RECURRENT_APHTHOUS_STOMATITIS	37	32		
HP_RECURRENT_SINUSITIS	38	34		
HP_CHRONIC_SINUSITIS	55	51		
HP_ABNORMALITY_OF_IMMUNE_SERUM_PROTEIN_PHYSIOLOGY	15		Rejected!	
HP_ABNORMALITY_OF_THE_NASAL_DORSUM	208	203		
HP_CONCAVE_NASAL_RIDGE	9		Rejected!	
HP_ABNORMALITY_OF_SKIN_PHYSIOLOGY	408	385		
HP_ABNORMALITY_OF_EPIDERMAL_MORPHOLOGY	64	62		
HP_ABNORMALITY_OF_DERMAL_MELANOSOMES	5		Rejected!	
HP_INCREASED_SENSITIVITY_TO_IONIZING_RADIATION	14		Rejected!	
HP_ABNORMALITY_OF_SKIN_ADNEXA_MORPHOLOGY	1152		Rejected!	
HP_SYMPTOMATIC_SEIZURES	30	30		
HP_DIALEPTIC_SEIZURE	135	131		
HP_MYOCLONIC_ABSENCE_SEIZURE	7		Rejected!	
HP_FOCAL_MOTOR_SEIZURE	31	31		
HP_FOCAL_SENSORY_SEIZURE	8		Rejected!	
HP_FOCAL_MYOCLONIC_SEIZURE	13		Rejected!	
HP_GENERALIZED_CLONIC_SEIZURE	24	23		
HP_COMPLEX_FEBRILE_SEIZURE	9		Rejected!	
HP_EEG_WITH_FOCAL_EPILEPTIFORM_DISCHARGES	91	88		
HP_EEG_WITH_FOCAL_SPIKES	6		Rejected!	
HP_EEG_WITH_FOCAL_SHARP_SLOW_WAVES	7		Rejected!	
HP_EEG_WITH_FOCAL_SHARP_WAVES	5		Rejected!	
HP_EEG_WITH_FOCAL_SPIKE_WAVES	5		Rejected!	
HP_EEG_WITH_ABNORMALLY_SLOW_FREQUENCIES	56	55		
HP_EEG_WITH_CONTINUOUS_SLOW_ACTIVITY	9		Rejected!	
HP_ABNORMAL_SHAPE_OF_THE_OCCIPUT	91	87		
HP_ABNORMAL_SHAPE_OF_THE_FRONTAL_REGION	320	313		
HP_SHORT_FACE	6		Rejected!	
HP_PROMINENT_FOREHEAD	160	157		
HP_APLASIA_HYPOPLASIA_OF_THE_EYELID	34	32		
HP_ELEVATED_C_REACTIVE_PROTEIN_LEVEL	30	27		
HP_HORIZONTAL_EYEBROW	13		Rejected!	
HP_BROAD_EYEBROW	13		Rejected!	
HP_MICROTIA_THIRD_DEGREE	10		Rejected!	
HP_ANISOCYTOSIS	15	15		
HP_RECURRENT_MYCOBACTERIAL_INFECTIONS	10		Rejected!	
HP_VASCULAR_SKIN_ABNORMALITY	482	447		
HP_ABNORMALITY_OF_THE_URINARY_SYSTEM_PHYSIOLOGY	909		Rejected!	
HP_ABNORMALITY_OF_URINE_CALCIUM_CONCENTRATION	46	45		
HP_ABNORMALITY_OF_URINE_CATECHOLAMINE_CONCENTRATION	26	26		
HP_ABNORMALITY_OF_HINDBRAIN_MORPHOLOGY	748		Rejected!	
HP_BROAD_THUMB	68	67		
HP_SLENDER_TOE	6		Rejected!	
HP_ABNORMALITY_OF_LONG_BONE_MORPHOLOGY	575		Rejected!	
HP_BICORONAL_SYNOSTOSIS	5		Rejected!	
HP_MULTIPLE_SUTURE_CRANIOSYNOSTOSIS	11		Rejected!	
HP_ABNORMALITY_OF_FONTANELLES	170	161		
HP_ABNORMALITY_OF_CRANIAL_SUTURES	272	261		
HP_METOPIC_SYNOSTOSIS	8		Rejected!	
HP_FACIAL_SHAPE_DEFORMATION	11		Rejected!	
HP_ABNORMALITY_OF_MOUTH_SIZE	305	299		
HP_ABNORMALITY_OF_MOUTH_SHAPE	214	202		
HP_ABNORMALITY_OF_UPPER_LIP_VERMILLION	311	300		
HP_LONG_UPPER_LIP	5		Rejected!	
HP_MILD_GLOBAL_DEVELOPMENTAL_DELAY	29	27		
HP_MODERATE_GLOBAL_DEVELOPMENTAL_DELAY	17	17		
HP_SEVERE_GLOBAL_DEVELOPMENTAL_DELAY	130	116		
HP_GENERALIZED_ABNORMALITY_OF_SKIN	841		Rejected!	
HP_LOCALIZED_SKIN_LESION	760		Rejected!	
HP_REGIONAL_ABNORMALITY_OF_SKIN	321	316		
HP_GENERALIZED_HYPOPIGMENTATION_OF_HAIR	38	36		
HP_DRY_HAIR	13		Rejected!	
HP_ACQUIRED_ABNORMAL_HAIR_PATTERN	21	20		
HP_CONGENITAL_ABNORMAL_HAIR_PATTERN	187	180		
HP_ABNORMAL_HAIR_QUANTITY	692		Rejected!	
HP_WHITE_HAIR	20	19		
HP_PATCHY_HYPOPIGMENTATION_OF_HAIR	18	18		
HP_MORPHOLOGICAL_ABNORMALITY_OF_THE_VESTIBULE_OF_THE_INNER_EAR	22	22		
HP_APLASIA_OF_THE_SEMICIRCULAR_CANAL	15	15		
HP_ABNORMALITY_OF_THE_INTERNAL_AUDITORY_CANAL	19	19		
HP_NARROW_INTERNAL_AUDITORY_CANAL	14		Rejected!	
HP_MORPHOLOGICAL_ABNORMALITY_OF_THE_INNER_EAR	63	61		
HP_CENTRAL_HYPOTONIA	25	24		
HP_ABNORMAL_CNS_MYELINATION	217	198		
HP_ABNORMALITY_OF_PLACENTAL_MEMBRANES	7		Rejected!	
HP_CAESARIAN_SECTION	6		Rejected!	
HP_ABNORMAL_BLOOD_CHLORIDE_CONCENTRATION	11		Rejected!	
HP_FETAL_ULTRASOUND_SOFT_MARKER	79	77		
HP_ABNORMALITY_OF_COORDINATION	945		Rejected!	
HP_ANKLE_CLONUS	30	28		
HP_KNEE_CLONUS	6		Rejected!	
HP_CONGENITAL_MICROCEPHALY	28	28		
HP_FUNCTIONAL_ABNORMALITY_OF_THE_MIDDLE_EAR	315	304		
HP_ESOPHAGEAL_CARCINOMA	10		Rejected!	
HP_YOUNG_ADULT_ONSET	8		Rejected!	
HP_CHILDHOOD_ONSET	58	56		
HP_APLASIA_HYPOPLASIA_OF_THE_GALLBLADDER	7		Rejected!	
HP_ABSENT_GALLBLADDER	5		Rejected!	
HP_NASAL_REGURGITATION	14		Rejected!	
HP_NASOGASTRIC_TUBE_FEEDING_IN_INFANCY	14		Rejected!	
HP_GASTROSTOMY_TUBE_FEEDING_IN_INFANCY	37	37		
HP_ABNORMALITY_OF_SMALL_INTESTINAL_VILLUS_MORPHOLOGY	19	19		
HP_CHILDHOOD_ONSET_SENSORINEURAL_HEARING_IMPAIRMENT	15		Rejected!	
HP_PROFOUND_SENSORINEURAL_HEARING_IMPAIRMENT	7		Rejected!	
HP_ABNORMAL_LACRIMAL_DUCT_MORPHOLOGY	30	30		
HP_ABNORMAL_LACRIMAL_GLAND_MORPHOLOGY	7		Rejected!	
HP_ABNORMAL_CORNEAL_ENDOTHELIUM_MORPHOLOGY	11		Rejected!	
HP_ABNORMALITY_OF_CORNEAL_STROMA	81	81		
HP_CENTRAL_OPACIFICATION_OF_THE_CORNEA	11		Rejected!	
HP_ABNORMAL_CORNEAL_EPITHELIUM_MORPHOLOGY	99	92		
HP_CORNEAL_NEOVASCULARIZATION	17	15		
HP_MYDRIASIS	8		Rejected!	
HP_BULL_S_EYE_MACULOPATHY	6		Rejected!	
HP_CYSTOID_MACULAR_EDEMA	15		Rejected!	
HP_CHOROIDAL_NEOVASCULARIZATION	15		Rejected!	
HP_DRUSEN	18	17		
HP_HYPERPIGMENTATION_OF_THE_FUNDUS	5		Rejected!	
HP_ACHROMATOPSIA	5		Rejected!	
HP_ANOMALOUS_TRICHROMACY	7		Rejected!	
HP_ABNORMALITY_OF_LENS_SHAPE	9		Rejected!	
HP_VITRITIS	5		Rejected!	
HP_ABNORMAL_CONNECTION_OF_THE_CARDIAC_SEGMENTS	167	158		
HP_ABNORMAL_ATRIOVENTRICULAR_CONNECTION	7		Rejected!	
HP_COMMON_ATRIUM	9		Rejected!	
HP_ABNORMAL_BRANCHING_PATTERN_OF_THE_AORTIC_ARCH	17	15		
HP_DOUBLE_AORTIC_ARCH	6		Rejected!	
HP_CONGENITAL_MALFORMATION_OF_THE_GREAT_ARTERIES	323	313		
HP_INTERRUPTED_AORTIC_ARCH	14		Rejected!	
HP_ABNORMALITY_OF_ABDOMINAL_SITUS	10		Rejected!	
HP_TRICUSPID_ATRESIA	11		Rejected!	
HP_RIGHT_VENTRICULAR_CARDIOMYOPATHY	9		Rejected!	
HP_PERIMEMBRANOUS_VENTRICULAR_SEPTAL_DEFECT	9		Rejected!	
HP_CEREBELLAR_HEMORRHAGE	6		Rejected!	
HP_ABNORMAL_ELECTROPHYSIOLOGY_OF_SINOATRIAL_NODE_ORIGIN	64	63		
HP_SINUS_TACHYCARDIA	24	24		
HP_SICK_SINUS_SYNDROME	24	23		
HP_FIRST_DEGREE_ATRIOVENTRICULAR_BLOCK	26	26		
HP_SECOND_DEGREE_ATRIOVENTRICULAR_BLOCK	5		Rejected!	
HP_BUNDLE_BRANCH_BLOCK	48	46		
HP_LEFT_ANTERIOR_FASCICULAR_BLOCK	5		Rejected!	
HP_RIGHT_BUNDLE_BRANCH_BLOCK	38	37		
HP_LEFT_BUNDLE_BRANCH_BLOCK	8		Rejected!	
HP_ABNORMALITY_OF_THE_PULMONARY_VEINS	25	24		
HP_CONGENITAL_MALFORMATION_OF_THE_RIGHT_HEART	31	27		
HP_ABNORMALITY_OF_JOINT_MOBILITY	1008		Rejected!	
HP_ABNORMAL_CENTRAL_SENSORY_FUNCTION	12		Rejected!	
HP_ABNORMALITY_OF_ADRENAL_MORPHOLOGY	87	84		
HP_ABNORMALITY_OF_ADRENAL_PHYSIOLOGY	125	121		
HP_CENTRAL_ADRENAL_INSUFFICIENCY	14		Rejected!	
HP_ADRENOCORTICOTROPIN_DEFICIENT_ADRENAL_INSUFFICIENCY	6		Rejected!	
HP_PRIMARY_HYPERALDOSTERONISM	8		Rejected!	
HP_ADRENOCORTICOTROPIC_HORMONE_DEFICIENCY	8		Rejected!	
HP_ADRENOCORTICOTROPIC_HORMONE_EXCESS	5		Rejected!	
HP_ABNORMALITY_OF_THE_POSTERIOR_PITUITARY	33	33		
HP_POSTERIOR_PITUITARY_DYSGENESIS	16	16		
HP_PITUITARY_GROWTH_HORMONE_CELL_ADENOMA	12		Rejected!	
HP_ABNORMALITY_OF_THE_PARATHYROID_MORPHOLOGY	22	22		
HP_PARATHYROID_DYSGENESIS	5		Rejected!	
HP_ABNORMAL_THYROID_MORPHOLOGY	127	123		
HP_THYROTOXICOSIS_WITH_DIFFUSE_GOITER	6		Rejected!	
HP_CENTRAL_HYPOTHYROIDISM	40	40		
HP_NEOPLASM_BY_HISTOLOGY	292	288		
HP_EMBRYONAL_RENAL_NEOPLASM	45	43		
HP_ABNORMALITY_OF_FACIAL_SOFT_TISSUE	392	376		
HP_MIDFACE_RETRUSION	239	236		
HP_HAMARTOMA_OF_TONGUE	18	17		
HP_BIFID_NOSE	8		Rejected!	
HP_TYPE_1_MUSCLE_FIBER_ATROPHY	15		Rejected!	
HP_DECREASED_PATELLAR_REFLEX	6		Rejected!	
HP_INCREASED_CEREBRAL_LIPOFUSCIN	9		Rejected!	
HP_SUBMUCOUS_CLEFT_SOFT_PALATE	8		Rejected!	
HP_ABNORMALITY_OF_FACIAL_SKELETON	1011		Rejected!	
HP_BROAD_CHIN	5		Rejected!	
HP_ABNORMAL_ORAL_MUCOSA_MORPHOLOGY	264	255		
HP_MOYAMOYA_PHENOMENON	10		Rejected!	
HP_ABNORMALITY_OF_T_CELL_PHYSIOLOGY	49	45		
HP_ABNORMAL_STERNAL_OSSIFICATION	12		Rejected!	
HP_ABNORMALITY_OF_THE_WING_OF_THE_ILIUM	54	53		
HP_ABNORMAL_PLATELET_FUNCTION	45	44		
HP_IMPAIRED_RISTOCETIN_INDUCED_PLATELET_AGGREGATION	5		Rejected!	
HP_ABNORMAL_PLATELET_COUNT	313	298		
HP_ABNORMAL_PLATELET_MORPHOLOGY	19	19		
HP_ABNORMAL_PLATELET_VOLUME	22	21		
HP_ABNORMAL_PLATELET_MEMBRANE_PROTEIN_EXPRESSION	6		Rejected!	
HP_ABNORMAL_PLATELET_GRANULES	6		Rejected!	
HP_ABNORMAL_UMBILICAL_STUMP_BLEEDING	5		Rejected!	
HP_HEMORRHAGE_OF_THE_EYE	37	35		
HP_BLEEDING_WITH_MINOR_OR_NO_TRAUMA	6		Rejected!	
HP_PROLONGED_BLEEDING_FOLLOWING_PROCEDURE	18	18		
HP_POST_PARTUM_HEMORRHAGE	8		Rejected!	
HP_ABNORMAL_LEUKOCYTE_COUNT	326	312		
HP_NEUTROPHILIA	9		Rejected!	
HP_ABNORMALITY_OF_CIRCULATING_FIBRINOGEN	34	33		
HP_ABNORMAL_HEMOGLOBIN	33	32		
HP_PERSISTENCE_OF_HEMOGLOBIN_F	9		Rejected!	
HP_CARDIOVASCULAR_CALCIFICATION	29	27		
HP_ABNORMAL_ACTIVITY_OF_MITOCHONDRIAL_RESPIRATORY_CHAIN	70	64		
HP_DECREASED_ACTIVITY_OF_MITOCHONDRIAL_COMPLEX_I	40	35		
HP_DECREASED_ACTIVITY_OF_MITOCHONDRIAL_COMPLEX_III	5		Rejected!	
HP_SHORT_DIGIT	472	455		
HP_ABNORMALITY_OF_THE_CEREBELLAR_PEDUNCLE	11		Rejected!	
HP_ELONGATED_SUPERIOR_CEREBELLAR_PEDUNCLE	8		Rejected!	
HP_HYPOPLASTIC_FIFTH_TOENAIL	13		Rejected!	
HP_RESPIRATORY_TRACT_INFECTION	490	460		
HP_RECURRENT_ACUTE_RESPIRATORY_TRACT_INFECTION	13		Rejected!	
HP_ACUTE_INFECTIOUS_PNEUMONIA	6		Rejected!	
HP_BRONCHIOLITIS	7		Rejected!	
HP_ASPIRATION_PNEUMONIA	25	23		
HP_RETINAL_PERFORATION	6		Rejected!	
HP_SUBSTANTIA_NIGRA_GLIOSIS	14		Rejected!	
HP_NON_OBSTRUCTIVE_AZOOSPERMIA	42	40		
HP_OBSTRUCTIVE_AZOOSPERMIA	17	17		
HP_ABNORMAL_CIRCULATING_CITRULLINE_CONCENTRATION	17		Rejected!	
HP_FEEDING_DIFFICULTIES	801		Rejected!	
HP_CEREBRAL_AMYLOID_ANGIOPATHY	5		Rejected!	
